analytical,creative,social,leadership,technical,riskTolerance,detail_oriented,entrepreneurial,empathy,communication,career
1.0,0.7466031678725129,0.4457571534717742,0.4873983427205734,0.6177307009891919,0.23431238358051243,0.8966050875076201,0.3886210922462954,0.28822607901023095,0.6292236245023614,Data Scientist
0.9089908307883315,0.6128485378691544,0.7141474710232538,0.5717736515237641,0.5538193784155707,0.6299748520144128,0.8934680096178242,0.5165180246135104,0.5606424450301399,0.9629677072998322,Lawyer
0.7635560540223015,0.5013822205894385,0.5063108476143477,0.46651943290416553,0.8539295519599153,0.6611627077469587,0.7522722175064411,0.6801011636336454,0.462336064187607,0.4440111114556668,Machine Learning Engineer
0.32822678651337567,0.8573880011241114,0.5549821354877108,0.4994500157845752,0.36643230785753866,0.5519676736089583,0.7776276301014136,0.49247752688126994,0.8966376695239973,0.7177654051274323,UX/UI Designer
1.0,0.35633182534252106,0.5790717411370071,0.4695631455328998,0.7121700021713513,0.5703178887421304,0.8132883862318228,0.4528983758686859,0.27222410793346663,0.3206029346897149,Cybersecurity Analyst
0.8926038452778015,0.25817488552439094,0.5378518840446525,0.19123434654662808,0.8565070870316241,0.3656396126448628,0.5946382229134913,0.5892992144854223,0.29387585584257303,0.591580465807686,Software Engineer
0.8790485695055955,0.6420460262191252,0.34793829719769137,0.5234768633974779,0.7535295586912695,0.7459833879059444,0.7999503311137062,0.3610024666886409,0.3122047505054306,0.5075258334791478,Cybersecurity Analyst
0.8486018090642693,0.5987441845136725,0.21389946256666512,0.573501652335356,0.704702778656168,0.664771741539401,0.8108156976958515,0.3594890127431056,0.3242860044718434,0.31316586959522263,Machine Learning Engineer
1.0,0.3242756569833627,0.7579113119231539,0.7241618438026702,0.8416934821761366,0.513341802870803,1.0,0.5225387472209312,0.40212256779020794,0.5357684754587592,Civil Engineer
0.9283499861696749,0.42650443863060344,0.6394825559794819,0.6085957532131403,0.579626428183872,0.3900851291033327,0.8744232082482188,0.570854276094167,0.7367827925234043,0.8102077690783528,Business Analyst
0.731446599461358,0.6623098977265403,0.23780245625737723,0.7240954834351108,0.674100439685154,0.517114771322057,0.7234036357489855,0.4280612445162289,0.33035875305793294,0.6733901664266196,Financial Analyst
